name,genus_id
gerardiana,21052
glauca,21052
holoptera,21052
intermedia,21052
intermixta,21052
kardangensis,21052
khurikensis,21052
laristanica,21052
likiangensis,21052
lomatolepis,21052
major,21052
milleri,21052
minuta,21052
monosperma,21052
multiflora,21052
nevadensis,21052
ochreata,21052
oxyphylla,21052
pachyclada,21052
pedunculata,21052
pentandra,21052
przewalskii,21052
pseudodistachya,21052
regeliana,21052
rhytidosperma,21052
rituensis,21052
rupestris,21052
sarcocarpa,21052
sinica,21052
somalensis,21052
strobilacea,21052
sumlingensis,21052
tilhoana,21052
torreyana,21052
transitoria,21052
triandra,21052
trifurca,21052
trifurcata,21052
trifurcata,21052
tweedieana,21052
viridis,21052
vvedenskyi,21052
biloba,21053
parvifolia,21053
africana,21054
acutum,21055
africanum,21055
arboreum,21055
bosavicum,21055
buchholzianum,21055
camporum,21055
catasphaericum,21055
cavaleriei,21055
cleistostachyum,21055
colombianum,21055
contractum,21055
costatum,21055
cuspidatum,21055
diminutum,21055
formosum,21055
giganteum,21055
globosum,21055
gnemon,21055
gnemonoides,21055
gracilipes,21055
hainanense,21055
karstenianum,21055
klossii,21055
latifolium,21055
leptostachyum,21055
leyboldii,21055
loerzingii,21055
luofuense,21055
macrostachyum,21055
microcarpum,21055
montanum,21055
neglectum,21055
nodiflorum,21055
oblongum,21055
oxycarpum,21055
paniculatum,21055
parvifolium,21055
pendulum,21055
pseudopaniculatum,21055
raya,21055
ridleyi,21055
scandens,21055
schwackeanum,21055
schwackeanum,21055
tenuifolium,21055
trinerve,21055
ula,21055
urens,21055
venosum,21055
venuosum,21055
alba,21056
amabilis,21056
balsamea,21056
beshanzuensis,21056
borisii-regis,21056
bracteata,21056
cephalonica,21056
chensiensis,21056
cilicica,21056
concolor,21056
delavayi,21056
densa,21056
durangensis,21056
fabri,21056
fanjingshanensis,21056
fargesii,21056
firma,21056
forrestii,21056
fraseri,21056
grandis,21056
guatemalensis,21056
hickelii,21056
hidalgensis,21056
holophylla,21056
homolepis,21056
insignis,21056
kawakamii,21056
koreana,21056
lasiocarpa,21056
magnifica,21056
mariesii,21056
nebrodensis,21056
nephrolepis,21056
nordmanniana,21056
numidica,21056
pendula,21056
pindrow,21056
pinsapo,21056
procera,21056
recurvata,21056
religiosa,21056
sachalinensis,21056
shastensis,21056
shensiensis,21056
shensiensis,21056
sibirica,21056
speciosa,21056
spectabilis,21056
squamata,21056
sumatrana,21056
theisha,21056
vasconcellosiana,21056
veitchii,21056
vejarii,21056
vilmorinii,21056
yuanbaoshanensis,21056
ziyuanensis,21056
argyrophylla,21057
atlantica,21058
deodara,21058
libani,21058
longibracteata,21059
davidiana,21060
evelyniana,21060
fortunei,21060
jezoensis,21060
czekanowskii,21061
czekanowskii,21061
decidua,21061
eurokurilensis,21061
eurolepis,21061
gmelinii,21061
griffithii,21061
hians,21061
hybrida,21061
kaempferi,21061
koreensis,21061
laricina,21061
lubarskii,21061
lyallii,21061
maritima,21061
maritima,21061
marschlinsii,21061
mastersiana,21061
occidentalis,21061
pendula,21061
pendula,21061
polonica,21061
potaninii,21061
sibirica,21061
stenophylla,21061
longibracteata,21062
abies,21063
albertiana,21063
alcockiana,21063
alcoquiana,21063
asperata,21063
aurantiaca,21063
austropanlanica,21063
brachytyla,21063
breweriana,21063
chihuahuana,21063
crassifolia,21063
engelmannii,21063
farreri,21063
fennica,21063
fennica,21063
glauca,21063
glehnii,21063
jezoensis,21063
koraiensis,21063
koyamae,21063
likiangensis,21063
linzhienensis,21063
lutescends,21063
lutzii,21063
