name,genus_id
hollosianus,21978
hyperboreus,21978
jamesii-macounii,21978
kneiffii,21978
laculosus,21978
latinervis,21978
leitensis,21978
longicuspis,21978
longifolius,21978
minnesotensis,21978
orthophyllus,21978
orthothecioides,21978
perplicatus,21978
polycarpon,21978
polygamus,21978
procerus,21978
pseudosarmentosus,21978
pseudostramineus,21978
revolvens,21978
scorpioides,21978
secundifolius,21978
sendtneri,21978
simplicissimus,21978
sordidus,21978
sparsus,21978
stagnatus,21978
subjulaceus,21978
submersus,21978
symmetricus,21978
tundrae,21978
uncinatus,21978
caudicaulis,21979
cuspidarioides,21979
elegantifolia,21979
nivicalyx,21979
robustifolia,21979
andicola,21980
torrenticola,21980
lapponicus,21981
vernicosus,21981
filicinum,21982
fluitans,21982
polycarpon,21982
uncinatum,21982
antarcticum,21983
aquaticum,21983
austro-fluviatile,21983
austrocatenulatum,21983
bestii,21983
calcareum,21983
calochroum,21983
caudicaule,21983
chalarocladum,21983
chilense,21983
desmiocladum,21983
ecuadorense,21983
excurrens,21983
fallax,21983
filicinum,21983
filum,21983
fluviatile,21983
fuegianum,21983
gangulianum,21983
heppii,21983
humile,21983
latifolium,21983
luridum,21983
macilentum,21983
macroneuron,21983
montanae,21983
noterophilum,21983
obtusulum,21983
orthocladon,21983
platyphyllum,21983
punae,21983
sordidoviride,21983
strictulum,21983
tenax,21983
tenellum,21983
tenuinerve,21983
varium,21983
alpestre,21984
alpinum,21984
arcticum,21984
bestii,21984
brasiliense,21984
caussequei,21984
choprae,21984
circinatum,21984
circulifolium,21984
closteri,21984
cochlearifolium,21984
cordifolium,21984
coreanum,21984
doii,21984
duriusculum,21984
ehlei,21984
entodontoides,21984
eugyrium,21984
fontinaloides,21984
hedbergii,21984
laevigatum,21984
lignitorum,21984
liukiuense,21984
luridum,21984
mackayi,21984
micans,21984
mizushimae,21984
molendinarium,21984
molle,21984
montanum,21984
nairii,21984
norvegicum,21984
ochraceum,21984
peruviense,21984
polare,21984
pseudoarcticum,21984
pseudochraceum,21984
pseudomontanum,21984
purpurascens,21984
reduncum,21984
schimperianum,21984
smithii,21984
steerei,21984
styriacum,21984
subeugyrium,21984
torrentis,21984
tsurugizamicum,21984
validum,21984
arkansanus,21985
arnoldianus,21985
beckeri,21985
brittoniae,21985
brownii,21985
complanatus,21985
flagelliferus,21985
jovet-astiae,21985
knowltonii,21985
lanceolatus,21985
patens,21985
steerei,21985
subflagellaris,21985
fontana,21986
holoneuron,21987
bandaiense,21988
brachypelmatum,21988
brevipes,21988
campicola,21988
humile,21988
kochii,21988
kurdicum,21988
laxirete,21988
loeskei,21988
mexicanum,21988
mizushimae,21988
muelleri,21988
octodiceroides,21988
pennellii,21988
radicale,21988
riparioides,21988
riparium,21988
sipho,21988
trichopodium,21988
vacillans,21988
wallacei,21988
yezoanum,21988
alpestre,21989
alpinum,21989
ambiguum,21989
arcticum,21989
curvicaule,21989
goulardii,21989
lusitanicum,21989
mackayi,21989
molle,21989
norvegicum,21989
ochraceum,21989
pachycarpulum,21989
simplicinerve,21989
styriacum,21989
subenerve,21989
subeugyrium,21989
