name,family_id
Saintpauliopsis,1
Salpinctium,1
Samuelssonia,1
Sanchezia,1
Sapphoa,1
Sarojusticia,1
Sarotheca,1
Satanocrater,1
Sautiera,1
Schaueria,1
Schawbea,1
Schwabea,1
Sclerochiton,1
Scorodoxylum,1
Sebastiano-schaueria,1
Sebschauera,1
Semnostachya,1
Semnothyrsus,1
Senkebergia,1
× Sericobonia,1
Sericocalyx,1
Sericographis,1
Sericospora,1
Siphonacanthus,1
Siphoneranthemum,1
Siphonoglossa,1
Solaenacanthus,1
Solenostyles,1
Sooia,1
Spathacanthus,1
Sphacanthus,1
Sphinctacanthus,1
Spirostigma,1
Stachyacanthus,1
Staurogyne,1
Staurogynopsis,1
Stemonacanthus,1
Stenandriopsis,1
Stenandrium,1
Stenosiphonium,1
Stenostephanus,1
Stenothyrsus,1
Stephanophysum,1
Streblacanthus,1
Streptosiphon,1
Strobilacanthus,1
Strobilanthes,1
Strobilanthopsis,1
Strobilanthus,1
Strophacanthus,1
Stylarthropus,1
Suessenguthia,1
Symplectochilus,1
Synnema,1
Syringidium,1
Taeniandra,1
Talbotia,1
Teliostachya,1
Tessmanniacanthus,1
Tetraglochidium,1
Tetramerium,1
Thelepaepale,1
Thunbergia,1
Thyrsacanthus,1
Thysanostigma,1
Tremacanthus,1
Triaenacanthus,1
Triaenanthus,1
Trichacanthus,1
Trichanthera,1
Trichaulax,1
Trichocalyx,1
Trichosanchezia,1
Tubiflora,1
Tyloglossa,1
Ulleria,1
Vavara,1
Vindasia,1
Volkensiophyton,1
Whitfieldia,1
Xantheranthemum,1
Xanthostachya,1
Xenacanthus,1
Xerothamnella,1
Yeatesia,1
Zygoruellia,1
Acharia,2
Baileyoxylon,2
Bergsmia,2
Buchnerodendron,2
Caloncoba,2
Camptostylus,2
Carpotroche,2
Ceratiosicyos,2
Chiangiodendron,2
Chilmoria,2
Chlorocarpa,2
Dasylepis,2
Dasypetalum,2
Dendrostylis,2
Eleutherandra,2
Erythrospermum,2
Grandidiera,2
Guthriea,2
Gynocardia,2
Hydnocarpus,2
Kiggelaria,2
Lindackeria,2
Mayna,2
Mocquerysia,2
Pangium,2
Paraphyadanthe,2
Peterodendron,2
Poggea,2
Prockiopsis,2
Pyramidocarpus,2
Rawsonia,2
Ryparosa,2
Scaphocalyx,2
Scottellia,2
Taraktogenos,2
Trichadenia,2
Xylotheca,2
Achatocarpus,3
Phaulothamnus,3
Acorus,4
Actinidia,5
Apatelia,5
Clematoclethra,5
Saurauia,5
Adoxa,6
Oreinotinus,6
Sambucus,6
Sinadoxa,6
Viburnum,6
Aextoxicon,7
Acrodon,8
Acrosanthes,8
Aethephyllum,8
Agnirictus,8
Aizoanthemum,8
Aizoon,8
Aloinopsis,8
Amphibolia,8
Anisostigma,8
Antegibbaeum,8
Antimima,8
Apatesia,8
Arenifera,8
Argeta,8
Argyroderma,8
Aridaria,8
Astridia,8
Bergeranthus,8
Berresfordia,8
Bijlia,8
Braunsia,8
Brianhuntleya,8
Calamophyllum,8
Callistigma,8
Carpanthea,8
Carpobrotus,8
× Carpophyma,8
× Carruanthophyllum,8
Carruanthus,8
Caryotophora,8
Cephalophyllum,8
Cerochlamys,8
Chasmatophyllum,8
Cheiridopsis,8
Circandra,8
Cleretum,8
Conicosia,8
Conophyllum,8
Conophytum,8
Corpuscularia,8
Crocanthus,8
Cryophytum,8
Cylindrophyllum,8
Cypselea,8
Deilanthe,8
Delosperma,8
Depacarpus,8
Derenbergia,8
Dicrocaulon,8
Didymaotus,8
Dinteranthus,8
Diplosoma,8
Disphyma,8
Dorotheanthus,8
Dracophilus,8
Drosanthemum,8
Eberlanzia,8
Ebracteola,8
Echinus,8
Enarganthe,8
Erepsia,8
Esterhuysenia,8
Eurystigma,8
Faucaria,8
Fenestraria,8
Frithia,8
Galenia,8
Gasoul,8
Gibbaeum,8
Glottiphyllum,8
Gunniopsis,8
Gymnopoma,8
Halenbergia,8
Hallianthus,8
Hammeria,8
Hereroa,8
Herrea,8
Herreanthus,8
Hydrodea,8
Hymenocyclus,8
Hymenogyne,8
Ihlenfeldtia,8
Jacobsenia,8
Jensenobotrya,8
Jordaaniella,8
Juttadinteria,8
Kensitia,8
Khadia,8
Lampranthus,8
Lapidaria,8
Leipoldtia,8
Lithops,8
Machairophyllum,8
Macrocaulon,8
Malephora,8
Marlothistella,8
Maughaniella,8
Mentocalyx,8
Mesembryanthemum,8
Mesembryanthus,8
Mestoklema,8
Meyerophytum,8
Micropterum,8
Mimetophytum,8
Mitrophyllum,8
Monilaria,8
Mossia,8
Muiria,8
Namaquanthus,8
Namibia,8
Nananthus,8
Nelia,8
Neohenricia,8
Neorhine,8
Nycteranthus,8
Octopoma,8
Odontophorus,8
Oophytum,8
Ophthalmophyllum,8
Opophytum,8
Orthopterum,8
Oscularia,8
Ottosonderia,8
Papularia,8
Peersia,8
Perissolobus,8
Phiambolia,8
Phyllobolus,8
Piquetia,8
Platythyra,8
Pleiospilos,8
Plinthus,8
Polymita,8
Pomatotheca,8
Prenia,8
Prepodesma,8
Psammophora,8
Psilocaulon,8
Punctillaria,8
Rabiea,8
Radiana,8
Rhinephyllum,8
Rhombophyllum,8
Rhopalocyclus,8
Rimaria,8
Ruschia,8
Ruschianthemum,8
Ruschianthus,8
Ruschiella,8
Saphesia,8
Sarcozona,8
Sceletium,8
Schlechteranthus,8
Schwantesia,8
Scopelogena,8
Sesuvium,8
Skiatophytum,8
Smicrostigma,8
Sphalmanthus,8
Stayneria,8
Sterropetalum,8
Stigmatocarpum,8
Stoeberia,8
Stomatium,8
Synaptophyllum,8
Tanquana,8
Tetragonella,8
Tetragonia,8
Thyrasperma,8
Tischleria,8
Titanopsis,8
Trianthema,8
Tribulocarpus,8
Trichocyclus,8
Trichodiadema,8
Vanheerdea,8
